,Unique_Game_ID,Year,Round,game_id,Home_Team,Home_Score,Away_Team,Away_Score,player_name,Team,Kicks,Handballs,Disposals,Contested_Possessions,Uncontested_Possessions,Disposal_Efficiency,Clangers,Marks,Contested_Marks,Marks_Inside_50,Hit_Outs,Clearances,Centre_clearances,Stoppages,Rebound_50,Frees_For,Frees_Against,Tackles,One_Percenters,Bounces,Inside_50s,Goals,Behinds,Goal_Assists,Goal_Percentage,Time_On_Ground_Percentage,AFL_Fantasy_Points,Champion_Data_Rating,Tackles_50,Metres_Gained,Score_Involvements,Predicted_Votes,prediction0,prediction1,prediction2,prediction3
27,1387,2019,1,1,CARL,64,RICH,97,Dylan Grimes,RICH,5,4,9,5,3,66.7,2,1,1,0,0,1,0,1,2,1,1,4,7,0,1,0,0,0,0,80,40,8.0,0,169,0,0.0,0.9999999994932622,4.813545022537711e-10,2.512993184898693e-11,2.516852807140161e-13
28,1387,2019,1,1,CARL,64,RICH,97,Nick Vlastuin,RICH,10,4,14,3,7,100.0,1,5,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,89,53,11.0,0,254,3,0.0,0.99999996695091,3.15555646250547e-08,1.457705573821703e-09,3.5816545375635145e-11
29,1387,2019,1,1,CARL,64,RICH,97,Kamdyn McIntosh,RICH,9,4,13,8,7,84.6,1,3,2,0,0,0,0,0,2,1,0,4,3,0,1,1,0,0,100,79,67,14.0,0,298,2,0.0,0.9999981173831032,1.5508817579544431e-06,3.1991526292788186e-07,1.181987507909878e-08
30,1387,2019,1,1,CARL,64,RICH,97,Maverick Weller,RICH,9,6,15,4,11,93.3,1,2,0,0,0,1,0,1,2,0,0,2,2,0,3,1,1,0,50,85,60,12.0,0,313,4,0.0,0.9999996772608407,2.782095899718743e-07,4.314702301608098e-08,1.3825488263926462e-09
31,1387,2019,1,1,CARL,64,RICH,97,Jack Graham,RICH,16,7,23,9,15,69.6,6,7,0,1,0,4,2,2,0,1,1,6,2,0,5,0,1,0,0,81,106,8.7,1,475,5,0.0,0.4287400633756197,0.3617078491600223,0.17072708196213607,0.0388250055022188
32,1387,2019,1,1,CARL,64,RICH,97,Dion Prestia,RICH,10,10,20,9,11,70.0,2,1,0,0,0,4,1,3,0,3,0,6,1,0,5,0,0,1,0,78,80,14.3,0,342,7,0.0,0.99073902474731,0.006325807834598698,0.0026796074666507997,0.00025555995144141284
33,1387,2019,1,1,CARL,64,RICH,97,Shane Edwards,RICH,8,14,22,11,12,81.8,1,0,0,0,0,5,2,3,0,1,0,4,1,0,3,0,0,1,0,85,69,22.6,1,259,9,0.0,0.9985214225401752,0.0010855438842429382,0.00036187547632410115,3.11580992585772e-05
34,1387,2019,1,1,CARL,64,RICH,97,Tom J. Lynch,RICH,4,3,7,5,2,85.7,3,1,1,1,0,0,0,0,0,2,1,2,1,0,0,3,1,0,75,78,47,9.0,0,95,5,0.0,0.999999748254513,2.1380097270531587e-07,3.6314074093486014e-08,1.630437738249802e-09
35,1387,2019,1,1,CARL,64,RICH,97,Kane Lambert,RICH,12,18,30,10,19,76.7,4,7,0,1,0,3,0,3,1,2,0,4,0,0,3,0,1,0,0,89,112,11.5,1,412,9,1.0,0.1040843414298074,0.4039740277373518,0.4019124802800452,0.09002915055279655
36,1387,2019,1,1,CARL,64,RICH,97,Jack Riewoldt,RICH,6,2,8,9,2,50.0,7,2,1,2,0,0,0,0,0,1,4,2,3,0,1,1,1,2,25,98,32,3.1,2,71,5,0.0,0.99999998459721,1.4354563409571444e-08,1.0136686153804218e-09,3.4558496011074784e-11
